# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  682       2.455454324966e-10       5.055049649070e-12      -9.954792386786e-12       1.031231718160e-14       2.365992345436e-14       5.356336201202e-15      -6.687688987610e-16 
  683       2.458674556514e-10       5.056720239355e-12      -1.017482157741e-11       1.032033045765e-14       2.353341733636e-14       5.373401402242e-15      -6.678921048490e-16 
  684       2.462149407736e-10       5.057544548651e-12      -1.039334678151e-11       1.032846572387e-14       2.340772912931e-14       5.390119876060e-15      -6.669331720639e-16 
  685       2.465875862596e-10       5.057527578714e-12      -1.061030010903e-11       1.033672370072e-14       2.328285607580e-14       5.406491478794e-15      -6.658928776570e-16 
  686       2.469850849887e-10       5.056674452459e-12      -1.082561305312e-11       1.034510510445e-14       2.315879527243e-14       5.422516093717e-15      -6.647720136372e-16 
  687       2.474071243004e-10       5.054990414480e-12      -1.103921648814e-11       1.035361064702e-14       2.303554366905e-14       5.438193631373e-15      -6.635713868314e-16 
  688       2.478533859718e-10       5.052480831557e-12      -1.125104066768e-11       1.036224103612e-14       2.291309806813e-14       5.453524029705e-15      -6.622918189445e-16 
  689       2.483235461951e-10       5.049151193178e-12      -1.146101522253e-11       1.037099697512e-14       2.279145512400e-14       5.468507254197e-15      -6.609341466197e-16 
  690       2.488172755550e-10       5.045007112055e-12      -1.166906915872e-11       1.037987916300e-14       2.267061134215e-14       5.483143298002e-15      -6.594992214986e-16 
  691       2.493342390061e-10       5.040054324632e-12      -1.187513085548e-11       1.038888829435e-14       2.255056307854e-14       5.497432182078e-15      -6.579879102813e-16 
  692       2.498740958500e-10       5.034298691609e-12      -1.207912806326e-11       1.039802505933e-14       2.243130653891e-14       5.511373955325e-15      -6.564010947867e-16 
  693       2.504364997133e-10       5.027746198452e-12      -1.228098790174e-11       1.040729014363e-14       2.231283777801e-14       5.524968694715e-15      -6.547396720126e-16 
  694       2.510210985244e-10       5.020402955909e-12      -1.248063685782e-11       1.041668422843e-14       2.219515269897e-14       5.538216505427e-15      -6.530045541958e-16 
  695       2.516275344911e-10       5.012275200527e-12      -1.267800078361e-11       1.042620799039e-14       2.207824705254e-14       5.551117520985e-15      -6.511966688724e-16 
  696       2.522554440782e-10       5.003369295167e-12      -1.287300489446e-11       1.043586210159e-14       2.196211643641e-14       5.563671903385e-15      -6.493169589378e-16 
  697       2.529044579848e-10       4.993691729520e-12      -1.306557376693e-11       1.044564722947e-14       2.184675629450e-14       5.575879843237e-15      -6.473663827071e-16 
  698       2.535742011214e-10       4.983249120618e-12      -1.325563133682e-11       1.045556403688e-14       2.173216191625e-14       5.587741559892e-15      -6.453459139749e-16 
  699       2.542642925877e-10       4.972048213357e-12      -1.344310089713e-11       1.046561318196e-14       2.161832843591e-14       5.599257301584e-15      -6.432565420759e-16 
  700       2.549743456498e-10       4.960095881003e-12      -1.362790509612e-11       1.047579531813e-14       2.150525083185e-14       5.610427345555e-15      -6.410992719448e-16 
  701       2.557039677177e-10       4.947399125718e-12      -1.380996593526e-11       1.048611109410e-14       2.139292392583e-14       5.621251998196e-15      -6.388751241765e-16 
  702       2.564527603224e-10       4.933965079066e-12      -1.398920476724e-11       1.049656115377e-14       2.128134238231e-14       5.631731595179e-15      -6.365851350862e-16 
  703       2.572203190938e-10       4.919801002533e-12      -1.416554229400e-11       1.050714613622e-14       2.117050070776e-14       5.641866501592e-15      -6.342303567698e-16 
  704       2.580062337377e-10       4.904914288043e-12      -1.433889856470e-11       1.051786667569e-14       2.106039324990e-14       5.651657112068e-15      -6.318118571638e-16 
  705       2.588100880134e-10       4.889312458470e-12      -1.450919297372e-11       1.052872340154e-14       2.095101419706e-14       5.661103850930e-15      -6.293307201057e-16 
  706       2.596314597108e-10       4.873003168156e-12      -1.467634425869e-11       1.053971693819e-14       2.084235757744e-14       5.670207172312e-15      -6.267880453938e-16 
  707       2.604699206283e-10       4.855994203426e-12      -1.484027049848e-11       1.055084790513e-14       2.073441725838e-14       5.678967560304e-15      -6.241849488479e-16 
  708       2.613250365498e-10       4.838293483103e-12      -1.500088911116e-11       1.056211691683e-14       2.062718694571e-14       5.687385529079e-15      -6.215225623690e-16 
  709       2.621963672222e-10       4.819909059023e-12      -1.515811685208e-11       1.057352458275e-14       2.052066018301e-14       5.695461623033e-15      -6.188020339997e-16 
  710       2.630834663329e-10       4.800849116551e-12      -1.531186981178e-11       1.058507150729e-14       2.041483035089e-14       5.703196416912e-15      -6.160245279842e-16 
  711       2.639858814869e-10       4.781121975097e-12      -1.546206341407e-11       1.059675828976e-14       2.030969066634e-14       5.710590515955e-15      -6.131912248288e-16 
  712       2.649031541847e-10       4.760736088629e-12      -1.560861241399e-11       1.060858552433e-14       2.020523418194e-14       5.717644556018e-15      -6.103033213616e-16 
  713       2.658348197992e-10       4.739700046190e-12      -1.575143089581e-11       1.062055380000e-14       2.010145378524e-14       5.724359203718e-15      -6.073620307929e-16 
  714       2.667804075534e-10       4.718022572415e-12      -1.589043227105e-11       1.063266370059e-14       1.999834219799e-14       5.730735156561e-15      -6.043685827756e-16 
  715       2.677394404976e-10       4.695712528043e-12      -1.602552927647e-11       1.064491580467e-14       1.989589197547e-14       5.736773143076e-15      -6.013242234649e-16 
  716       2.687114354872e-10       4.672778910434e-12      -1.615663397206e-11       1.065731068555e-14       1.979409550578e-14       5.742473922953e-15      -5.982302155788e-16 
  717       2.696959031594e-10       4.649230854086e-12      -1.628365773906e-11       1.066984891123e-14       1.969294500911e-14       5.747838287175e-15      -5.950878384581e-16 
  718       2.706923479112e-10       4.625077631146e-12      -1.640651127796e-11       1.068253104438e-14       1.959243253706e-14       5.752867058150e-15      -5.918983881267e-16 
  719       2.717002678767e-10       4.600328651931e-12      -1.652510460649e-11       1.069535764228e-14       1.949254997192e-14       5.757561089851e-15      -5.886631773515e-16 
  720       2.727191549042e-10       4.574993465439e-12      -1.663934705761e-11       1.070832925681e-14       1.939328902598e-14       5.761921267943e-15      -5.853835357032e-16 
  721       2.737484945339e-10       4.549081759865e-12      -1.674914727755e-11       1.072144643442e-14       1.929464124080e-14       5.765948509922e-15      -5.820608096154e-16 
  722       2.747877774791e-10       4.522603896418e-12      -1.685442655486e-11       1.073470930368e-14       1.919659912214e-14       5.769643705411e-15      -5.786961796852e-16 
  723       2.758365343703e-10       4.495572521553e-12      -1.695515910704e-11       1.074811632896e-14       1.909915957129e-14       5.773007535458e-15      -5.752901084006e-16 
  724       2.768943016682e-10       4.468000988322e-12      -1.705133260375e-11       1.076166553154e-14       1.900232052162e-14       5.776040649854e-15      -5.718428813761e-16 
  725       2.779606102034e-10       4.439902826664e-12      -1.714293491045e-11       1.077535489953e-14       1.890607980887e-14       5.778743726758e-15      -5.683547891215e-16 
  726       2.790349851564e-10       4.411291744042e-12      -1.722995408947e-11       1.078918238783e-14       1.881043517061e-14       5.781117472819e-15      -5.648261270596e-16 
  727       2.801169460376e-10       4.382181626079e-12      -1.731237840111e-11       1.080314591790e-14       1.871538424587e-14       5.783162623296e-15      -5.612571955449e-16 
  728       2.812060066677e-10       4.352586537200e-12      -1.739019630468e-11       1.081724337772e-14       1.862092457466e-14       5.784879942176e-15      -5.576482998810e-16 
  729       2.823016751571e-10       4.322520721266e-12      -1.746339645955e-11       1.083147262159e-14       1.852705359754e-14       5.786270222299e-15      -5.539997503394e-16 
  730       2.834034538867e-10       4.291998602213e-12      -1.753196772626e-11       1.084583147006e-14       1.843376865514e-14       5.787334285473e-15      -5.503118621775e-16 
  731       2.845108394871e-10       4.261034784693e-12      -1.759589916754e-11       1.086031770974e-14       1.834106698778e-14       5.788072982600e-15      -5.465849556566e-16 
  732       2.856233228194e-10       4.229644054709e-12      -1.765518004940e-11       1.087492909323e-14       1.824894573497e-14       5.788487193790e-15      -5.428193560600e-16 
  733       2.867403889550e-10       4.197841380250e-12      -1.770979984219e-11       1.088966333893e-14       1.815740193497e-14       5.788577828488e-15      -5.390153937115e-16 
  734       2.878615171552e-10       4.165641911937e-12      -1.775974822168e-11       1.090451813098e-14       1.806643252438e-14       5.788345825589e-15      -5.351734039931e-16 
  735       2.889861808521e-10       4.133060983655e-12      -1.780501507010e-11       1.091949111907e-14       1.797603433766e-14       5.787792153563e-15      -5.312937273636e-16 
  736       2.901138476277e-10       4.100114113190e-12      -1.784559047721e-11       1.093457991833e-14       1.788620410670e-14       5.786917810571e-15      -5.273767093764e-16 
  737       2.912439791947e-10       4.066817002873e-12      -1.788146474138e-11       1.094978210921e-14       1.779693846037e-14       5.785723824587e-15      -5.234227006978e-16 
  738       2.923760313763e-10       4.033185540212e-12      -1.791262837065e-11       1.096509523735e-14       1.770823392409e-14       5.784211253522e-15      -5.194320571252e-16 
  739       2.935094540859e-10       3.999235798533e-12      -1.793907208380e-11       1.098051681343e-14       1.762008691936e-14       5.782381185338e-15      -5.154051396052e-16 
  740       2.946436913076e-10       3.964984037618e-12      -1.796078681140e-11       1.099604431307e-14       1.753249376332e-14       5.780234738171e-15      -5.113423142516e-16 
  741       2.957781810762e-10       3.930446704340e-12      -1.797776369688e-11       1.101167517667e-14       1.744545066833e-14       5.777773060456e-15      -5.072439523639e-16 
  742       2.969123554569e-10       3.895640433305e-12      -1.798999409761e-11       1.102740680932e-14       1.735895374151e-14       5.774997331039e-15      -5.031104304449e-16 
  743       2.980456405256e-10       3.860582047488e-12      -1.799746958595e-11       1.104323658061e-14       1.727299898428e-14       5.771908759305e-15      -4.989421302197e-16 
  744       2.991774563490e-10       3.825288558871e-12      -1.800018195033e-11       1.105916182457e-14       1.718758229193e-14       5.768508585292e-15      -4.947394386529e-16 
  745       3.003072169645e-10       3.789777169080e-12      -1.799812319630e-11       1.107517983949e-14       1.710269945317e-14       5.764798079817e-15      -4.905027479675e-16 
  746       3.014343303603e-10       3.754065270027e-12      -1.799128554760e-11       1.109128788780e-14       1.701834614971e-14       5.760778544592e-15      -4.862324556625e-16 
  747       3.025581984554e-10       3.718170444541e-12      -1.797966144723e-11       1.110748319597e-14       1.693451795576e-14       5.756451312348e-15      -4.819289645315e-16 
  748       3.036782170797e-10       3.682110467014e-12      -1.796324355851e-11       1.112376295433e-14       1.685121033763e-14       5.751817746953e-15      -4.775926826805e-16 
  749       3.047937759540e-10       3.645903304031e-12      -1.794202476616e-11       1.114012431700e-14       1.676841865330e-14       5.746879243531e-15      -4.732240235464e-16 
  750       3.059042586701e-10       3.609567115014e-12      -1.791599817734e-11       1.115656440170e-14       1.668613815190e-14       5.741637228588e-15      -4.688234059147e-16 
  751       3.070090426707e-10       3.573120252859e-12      -1.788515712274e-11       1.117308028966e-14       1.660436397335e-14       5.736093160125e-15      -4.643912539382e-16 
  752       3.081074992297e-10       3.536581264571e-12      -1.784949515763e-11       1.118966902548e-14       1.652309114787e-14       5.730248527766e-15      -4.599279971546e-16 
  753       3.091989934319e-10       3.499968891905e-12      -1.780900606293e-11       1.120632761701e-14       1.644231459554e-14       5.724104852871e-15      -4.554340705051e-16 
  754       3.102828841533e-10       3.463302072001e-12      -1.776368384629e-11       1.122305303520e-14       1.636202912585e-14       5.717663688661e-15      -4.509099143523e-16 
  755       3.113585240413e-10       3.426599938025e-12      -1.771352274312e-11       1.123984221397e-14       1.628222943727e-14       5.710926620339e-15      -4.463559744983e-16 
  756       3.124252594942e-10       3.389881819806e-12      -1.765851721769e-11       1.125669205011e-14       1.620291011680e-14       5.703895265207e-15      -4.417727022031e-16 
  757       3.134824306416e-10       3.353167244474e-12      -1.759866196417e-11       1.127359940312e-14       1.612406563952e-14       5.696571272788e-15      -4.371605542026e-16 
  758       3.145293713246e-10       3.316475937096e-12      -1.753395190774e-11       1.129056109509e-14       1.604569036816e-14       5.688956324948e-15      -4.325199927268e-16 
  759       3.155654090755e-10       3.279827821317e-12      -1.746438220558e-11       1.130757391059e-14       1.596777855263e-14       5.681052136012e-15      -4.278514855179e-16 
  760       3.165898650980e-10       3.243243019996e-12      -1.738994824802e-11       1.132463459651e-14       1.589032432959e-14       5.672860452890e-15      -4.231555058483e-16 
  761       3.176021155019e-10       3.206740593093e-12      -1.731065458683e-11       1.134173986137e-14       1.581332248839e-14       5.664382968561e-15      -4.184326078970e-16 
  762       3.186017763353e-10       3.170334723506e-12      -1.722654190597e-11       1.135888637358e-14       1.573677078591e-14       5.655621060479e-15      -4.136836544246e-16 
  763       3.195885220600e-10       3.134038459384e-12      -1.713766057000e-11       1.137607076285e-14       1.566066767521e-14       5.646576047393e-15      -4.089095934986e-16 
  764       3.205620246106e-10       3.097864970625e-12      -1.704406174649e-11       1.139328962073e-14       1.558501154287e-14       5.637249275625e-15      -4.041113835644e-16 
  765       3.215219533873e-10       3.061827549259e-12      -1.694579740902e-11       1.141053950036e-14       1.550980070874e-14       5.627642119175e-15      -3.992899934792e-16 
  766       3.224679752490e-10       3.025939609821e-12      -1.684292034001e-11       1.142781691643e-14       1.543503342561e-14       5.617755979820e-15      -3.944464025455e-16 
  767       3.233997545052e-10       2.990214689730e-12      -1.673548413368e-11       1.144511834504e-14       1.536070787893e-14       5.607592287223e-15      -3.895816005453e-16 
  768       3.243169529097e-10       2.954666449663e-12      -1.662354319894e-11       1.146244022351e-14       1.528682218656e-14       5.597152499027e-15      -3.846965877734e-16 
  769       3.252192296526e-10       2.919308673932e-12      -1.650715276231e-11       1.147977895030e-14       1.521337439844e-14       5.586438100964e-15      -3.797923750713e-16 
  770       3.261062413531e-10       2.884155270865e-12      -1.638636887084e-11       1.149713088490e-14       1.514036249633e-14       5.575450606953e-15      -3.748699838611e-16 
  771       3.269776420527e-10       2.849220273175e-12      -1.626124839501e-11       1.151449234764e-14       1.506778439352e-14       5.564191559208e-15      -3.699304461791e-16 
  772       3.278330832074e-10       2.814517838345e-12      -1.613184903166e-11       1.153185961959e-14       1.499563793452e-14       5.552662528333e-15      -3.649748047094e-16 
  773       3.286722136805e-10       2.780062248997e-12      -1.599822930689e-11       1.154922894246e-14       1.492392089482e-14       5.540865113430e-15      -3.600041128180e-16 
  774       3.294946797357e-10       2.745867913275e-12      -1.586044857896e-11       1.156659651842e-14       1.485263098055e-14       5.528800942202e-15      -3.550194345862e-16 
  775       3.303001250294e-10       2.711949365218e-12      -1.571856704124e-11       1.158395851000e-14       1.478176582824e-14       5.516471671050e-15      -3.500218448447e-16 
  776       3.310881906034e-10       2.678321265137e-12      -1.557264572509e-11       1.160131103994e-14       1.471132300450e-14       5.503878985181e-15      -3.450124292069e-16 
  777       3.318585148781e-10       2.644998399992e-12      -1.542274650278e-11       1.161865019109e-14       1.464130000577e-14       5.491024598708e-15      -3.399922841030e-16 
  778       3.326107336447e-10       2.611995683770e-12      -1.526893209041e-11       1.163597200625e-14       1.457169425797e-14       5.477910254751e-15      -3.349625168138e-16 
  779       3.333444800581e-10       2.579328157860e-12      -1.511126605083e-11       1.165327248806e-14       1.450250311631e-14       5.464537725543e-15      -3.299242455039e-16 
  780       3.340593846297e-10       2.547010991429e-12      -1.494981279654e-11       1.167054759887e-14       1.443372386489e-14       5.450908812531e-15      -3.248785992563e-16 
  781       3.347550752201e-10       2.515059481802e-12      -1.478463759260e-11       1.168779326059e-14       1.436535371651e-14       5.437025346475e-15      -3.198267181052e-16 
  782       3.354311770317e-10       2.483489054835e-12      -1.461580655953e-11       1.170500535458e-14       1.429738981235e-14       5.422889187559e-15      -3.147697530707e-16 
  783       3.360873126014e-10       2.452315265294e-12      -1.444338667629e-11       1.172217972151e-14       1.422982922164e-14       5.408502225482e-15      -3.097088661917e-16 
  784       3.367231017937e-10       2.421553797229e-12      -1.426744578310e-11       1.173931216126e-14       1.416266894145e-14       5.393866379570e-15      -3.046452305601e-16 
  785       3.373381617929e-10       2.391220464354e-12      -1.408805258441e-11       1.175639843272e-14       1.409590589636e-14       5.378983598874e-15      -2.995800303545e-16 
  786       3.379321070961e-10       2.361331210423e-12      -1.390527665182e-11       1.177343425375e-14       1.402953693816e-14       5.363855862274e-15      -2.945144608740e-16 
  787       3.385045495058e-10       2.331902109602e-12      -1.371918842694e-11       1.179041530097e-14       1.396355884561e-14       5.348485178580e-15      -2.894497285718e-16 
  788       3.390550981228e-10       2.302949366854e-12      -1.352985922436e-11       1.180733720969e-14       1.389796832410e-14       5.332873586635e-15      -2.843870510888e-16 
  789       3.395833593388e-10       2.274489318308e-12      -1.333736123454e-11       1.182419557375e-14       1.383276200542e-14       5.317023155419e-15      -2.793276572878e-16 
  790       3.400889368289e-10       2.246538431640e-12      -1.314176752670e-11       1.184098594539e-14       1.376793644742e-14       5.300935984149e-15      -2.742727872868e-16 
  791       3.405714315450e-10       2.219113306447e-12      -1.294315205178e-11       1.185770383514e-14       1.370348813376e-14       5.284614202384e-15      -2.692236924931e-16 
  792       3.410304417075e-10       2.192230674627e-12      -1.274158964532e-11       1.187434471165e-14       1.363941347362e-14       5.268059970124e-15      -2.641816356369e-16 
  793       3.414655627991e-10       2.165907400752e-12      -1.253715603036e-11       1.189090400162e-14       1.357570880138e-14       5.251275477916e-15      -2.591478908047e-16 
  794       3.418763875566e-10       2.140160482446e-12      -1.232992782040e-11       1.190737708963e-14       1.351237037639e-14       5.234262946955e-15      -2.541237434739e-16 
  795       3.422625059642e-10       2.115007050764e-12      -1.211998252228e-11       1.192375931799e-14       1.344939438262e-14       5.217024629186e-15      -2.491104905455e-16 
  796       3.426235052460e-10       2.090464370566e-12      -1.190739853909e-11       1.194004598667e-14       1.338677692844e-14       5.199562807407e-15      -2.441094403787e-16 
  797       3.429589698588e-10       2.066549840892e-12      -1.169225517311e-11       1.195623235313e-14       1.332451404628e-14       5.181879795373e-15      -2.391219128241e-16 
  798       3.432684814846e-10       2.043280995343e-12      -1.147463262868e-11       1.197231363219e-14       1.326260169235e-14       5.163977937893e-15      -2.341492392580e-16 
  799       3.435516190238e-10       2.020675502456e-12      -1.125461201516e-11       1.198828499593e-14       1.320103574641e-14       5.145859610940e-15      -2.291927626153e-16 
  800       3.438080293271e-10       1.998748882366e-12      -1.103227477014e-11       1.200414197837e-14       1.313981253630e-14       5.127527368829e-15      -2.242535834528e-16 
  801       3.440376408225e-10       1.977507610370e-12      -1.080770091170e-11       1.201988169813e-14       1.307893042295e-14       5.108984388508e-15      -2.193317929880e-16 
  802       3.442404537706e-10       1.956955888321e-12      -1.058097076008e-11       1.203550165783e-14       1.301838824375e-14       5.090234033573e-15      -2.144272261377e-16 
  803       3.444164698838e-10       1.937097916894e-12      -1.035216551720e-11       1.205099934120e-14       1.295818479008e-14       5.071279708055e-15      -2.095397142078e-16 
  804       3.445656923327e-10       1.917937895530e-12      -1.012136726954e-11       1.206637221304e-14       1.289831880714e-14       5.052124856550e-15      -2.046690848796e-16 
  805       3.446881257514e-10       1.899480022393e-12      -9.888658990867e-12       1.208161771917e-14       1.283878899372e-14       5.032772964345e-15      -1.998151621961e-16 
  806       3.447837762438e-10       1.881728494311e-12      -9.654124545109e-12       1.209673328637e-14       1.277959400207e-14       5.013227557552e-15      -1.949777665480e-16 
  807       3.448526513898e-10       1.864687506732e-12      -9.417848689112e-12       1.211171632230e-14       1.272073243766e-14       4.993492203237e-15      -1.901567146598e-16 
  808       3.448947602509e-10       1.848361253667e-12      -9.179917075466e-12       1.212656421549e-14       1.266220285902e-14       4.973570509547e-15      -1.853518195764e-16 
  809       3.449101133761e-10       1.832753927643e-12      -8.940416255302e-12       1.214127433526e-14       1.260400377755e-14       4.953466125846e-15      -1.805628906488e-16 
  810       3.448987228083e-10       1.817869719650e-12      -8.699433681100e-12       1.215584403166e-14       1.254613365733e-14       4.933182742838e-15      -1.757897335208e-16 
  811       3.448606020899e-10       1.803712819090e-12      -8.457057709491e-12       1.217027063545e-14       1.248859091491e-14       4.912724092704e-15      -1.710321501147e-16 
  812       3.447957662690e-10       1.790287413729e-12      -8.213377604061e-12       1.218455145800e-14       1.243137391915e-14       4.892093949226e-15      -1.662899386176e-16 
  813       3.447042319052e-10       1.777597689640e-12      -7.968483538158e-12       1.219868379127e-14       1.237448099104e-14       4.871296127920e-15      -1.615628934680e-16 
  814       3.445860170755e-10       1.765647831160e-12      -7.722466597694e-12       1.221266490775e-14       1.231791040347e-14       4.850334486166e-15      -1.568508053412e-16 
  815       3.444411413805e-10       1.754442020830e-12      -7.475418783951e-12       1.222649206039e-14       1.226166038109e-14       4.829212923338e-15      -1.521534611364e-16 
  816       3.442696259502e-10       1.743984439351e-12      -7.227433016384e-12       1.224016248257e-14       1.220572910007e-14       4.807935380932e-15      -1.474706439621e-16 
  817       3.440714934502e-10       1.734279265532e-12      -6.978603135424e-12       1.225367338803e-14       1.215011468796e-14       4.786505842699e-15      -1.428021331229e-16 
  818       3.438467680871e-10       1.725330676234e-12      -6.729023905287e-12       1.226702197081e-14       1.209481522349e-14       4.764928334773e-15      -1.381477041051e-16 
  819       3.435954756152e-10       1.717142846324e-12      -6.478791016773e-12       1.228020540522e-14       1.203982873635e-14       4.743206925801e-15      -1.335071285633e-16 
  820       3.433176433420e-10       1.709719948625e-12      -6.228001090076e-12       1.229322084577e-14       1.198515320705e-14       4.721345727074e-15      -1.288801743067e-16 
  821       3.430133001343e-10       1.703066153859e-12      -5.976751677583e-12       1.230606542711e-14       1.193078656669e-14       4.699348892657e-15      -1.242666052848e-16 
  822       3.426824764239e-10       1.697185630601e-12      -5.725141266679e-12       1.231873626399e-14       1.187672669681e-14       4.677220619518e-15      -1.196661815738e-16 
  823       3.423252042142e-10       1.692082545227e-12      -5.473269282557e-12       1.233123045120e-14       1.182297142916e-14       4.654965147657e-15      -1.150786593631e-16 
  824       3.419415170855e-10       1.687761061861e-12      -5.221236091015e-12       1.234354506352e-14       1.176951854554e-14       4.632586760241e-15      -1.105037909409e-16 
  825       3.415314502014e-10       1.684225342327e-12      -4.969143001265e-12       1.235567715566e-14       1.171636577763e-14       4.610089783727e-15      -1.059413246810e-16 
  826       3.410950403145e-10       1.681479546097e-12      -4.717092268736e-12       1.236762376220e-14       1.166351080673e-14       4.587478587997e-15      -1.013910050285e-16 
  827       3.406323257725e-10       1.679527830236e-12      -4.465187097877e-12       1.237938189756e-14       1.161095126367e-14       4.564757586488e-15      -9.685257248631e-17 
  828       3.401433465241e-10       1.678374349359e-12      -4.213531644964e-12       1.239094855592e-14       1.155868472854e-14       4.541931236317e-15      -9.232576360102e-17 
  829       3.396281441252e-10       1.678023255573e-12      -3.962231020903e-12       1.240232071118e-14       1.150670873055e-14       4.519004038418e-15      -8.781031094940e-17 
  830       3.390867617444e-10       1.678478698427e-12      -3.711391294034e-12       1.241349531691e-14       1.145502074781e-14       4.495980537667e-15      -8.330594312443e-17 
  831       3.385192441693e-10       1.679744824867e-12      -3.461119492936e-12       1.242446930628e-14       1.140361820717e-14       4.472865323012e-15      -7.881238472149e-17 
  832       3.379256378127e-10       1.681825779175e-12      -3.211523609229e-12       1.243523959202e-14       1.135249848402e-14       4.449663027608e-15      -7.432935632457e-17 
  833       3.373059907178e-10       1.684725702928e-12      -2.962712600385e-12       1.244580306637e-14       1.130165890209e-14       4.426378328940e-15      -6.985657449246e-17 
  834       3.366603525649e-10       1.688448734940e-12      -2.714796392522e-12       1.245615660099e-14       1.125109673328e-14       4.403015948958e-15      -6.539375174492e-17 
  835       3.359887746771e-10       1.692999011214e-12      -2.467885883219e-12       1.246629704696e-14       1.120080919747e-14       4.379580654206e-15      -6.094059654886e-17 
  836       3.352913100263e-10       1.698380664890e-12      -2.222092944312e-12       1.247622123470e-14       1.115079346232e-14       4.356077255952e-15      -5.649681330454e-17 
  837       3.345680132389e-10       1.704597826195e-12      -1.977530424705e-12       1.248592597390e-14       1.110104664309e-14       4.332510610314e-15      -5.206210233177e-17 
  838       3.338189406022e-10       1.711654622390e-12      -1.734312153168e-12       1.249540805349e-14       1.105156580245e-14       4.308885618398e-15      -4.763615985607e-17 
  839       3.330441896133e-10       1.719553284913e-12      -1.492543718442e-12       1.250466478473e-14       1.100234831527e-14       4.285206344787e-15      -4.321886774872e-17 
  840       3.322440183682e-10       1.728288434796e-12      -1.252294628042e-12       1.251369564097e-14       1.095339297029e-14       4.261473355957e-15      -3.881086639321e-17 
  841       3.314187282617e-10       1.737852697730e-12      -1.013625670686e-12       1.252250064632e-14       1.090469888725e-14       4.237686335824e-15      -3.441299175702e-17 
  842       3.305686246447e-10       1.748238587501e-12      -7.765980963400e-13       1.253107983509e-14       1.085626515351e-14       4.213844963154e-15      -3.002608655934e-17 
  843       3.296940168370e-10       1.759438505610e-12      -5.412736174501e-13       1.253943325186e-14       1.080809082391e-14       4.189948911550e-15      -2.565100028957e-17 
  844       3.287952181403e-10       1.771444740901e-12      -3.077144101806e-13       1.254756095152e-14       1.076017492069e-14       4.165997849427e-15      -2.128858922578e-17 
  845       3.278725458506e-10       1.784249469192e-12      -7.598311564507e-14       1.255546299928e-14       1.071251643333e-14       4.141991439994e-15      -1.693971645321e-17 
  846       3.269263212710e-10       1.797844752897e-12       1.538571588585e-13       1.256313947071e-14       1.066511431844e-14       4.117929341235e-15      -1.260525188280e-17 
  847       3.259568697242e-10       1.812222540651e-12       3.817428386140e-13       1.257059045183e-14       1.061796749961e-14       4.093811205888e-15      -8.286072269664e-18 
  848       3.249645205656e-10       1.827374666946e-12       6.076098802534e-13       1.257781603909e-14       1.057107486730e-14       4.069636681422e-15      -3.983061231575e-18 
  849       3.239496071956e-10       1.843292851745e-12       8.313937705222e-13       1.258481633942e-14       1.052443527874e-14       4.045405410020e-15       3.028907325248e-19 
  850       3.229124670728e-10       1.859968700121e-12       1.053029525046e-12       1.259159147031e-14       1.047804755774e-14       4.021117028561e-15       4.570886224032e-18 
  851       3.218534417259e-10       1.877393701874e-12       1.272451687096e-12       1.259814155978e-14       1.043191049465e-14       3.996771168594e-15       8.820020926190e-18 
  852       3.207728767672e-10       1.895559231164e-12       1.489594326356e-12       1.260446674649e-14       1.038602284613e-14       3.972367456323e-15       1.304938358559e-17 
  853       3.196711219049e-10       1.914456546133e-12       1.704391037688e-12       1.261056717972e-14       1.034038333514e-14       3.947905512582e-15       1.725805599368e-17 
  854       3.185485309559e-10       1.934076788537e-12       1.916774939895e-12       1.261644301945e-14       1.029499065071e-14       3.923384952822e-15       2.144511296825e-17 
  855       3.174054618583e-10       1.954410983367e-12       2.126678674493e-12       1.262209443637e-14       1.024984344787e-14       3.898805387083e-15       2.560962233498e-17 
  856       3.162422766845e-10       1.975450038481e-12       2.334034404474e-12       1.262752161194e-14       1.020494034753e-14       3.874166419980e-15       2.975064490890e-17 
  857       3.150593416535e-10       1.997184744226e-12       2.538773813070e-12       1.263272473841e-14       1.016027993631e-14       3.849467650679e-15       3.386723447592e-17 
  858       3.138570271438e-10       2.019605773067e-12       2.740828102522e-12       1.263770401888e-14       1.011586076647e-14       3.824708672878e-15       3.795843777432e-17 
  859       3.126357077062e-10       2.042703679216e-12       2.940127992844e-12       1.264245966730e-14       1.007168135573e-14       3.799889074789e-15       4.202329447626e-17 
  860       3.113957620761e-10       2.066468898254e-12       3.136603720593e-12       1.264699190857e-14       1.002774018719e-14       3.775008439114e-15       4.606083716929e-17 
  861       3.101375731867e-10       2.090891746761e-12       3.330185037627e-12       1.265130097851e-14       9.984035709156e-15       3.750066343029e-15       5.007009133786e-17 
