# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.617394298318e-10       7.570731002590e-15       2.241615589949e-13       6.375960355536e-17       8.295372974634e-11       9.173664724877e-12      -9.664215485070e-15 
   41       1.642313598770e-10       8.224381615289e-15       2.147137702065e-13       6.699196301438e-17       7.886117982514e-11       8.754385163845e-12      -8.656254738181e-15 
   42       1.667491621499e-10       8.913362677595e-15       2.037129437269e-13       7.030577952432e-17       7.504062435604e-11       8.360732863467e-12      -7.562769030533e-15 
   43       1.692937246477e-10       9.638192392501e-15       1.911943082123e-13       7.370112909164e-17       7.145100212418e-11       7.992303474839e-12      -6.722862686749e-15 
   44       1.718669073385e-10       1.039944135666e-14       1.771605244118e-13       7.717805809556e-17       6.808684337109e-11       7.648924872143e-12      -6.196181754504e-15 
   45       1.744686058796e-10       1.119766247350e-14       1.616096774004e-13       8.073659873069e-17       6.494475075424e-11       7.329568783082e-12      -5.957221042719e-15 
   46       1.770954503476e-10       1.203336294118e-14       1.445461082930e-13       8.437677476122e-17       6.201005790173e-11       7.031872667381e-12      -5.969045263654e-15 
   47       1.797405138275e-10       1.290700222780e-14       1.259806468149e-13       8.809860129097e-17       5.925595059934e-11       6.752038513220e-12      -6.182530650935e-15 
   48       1.823965281451e-10       1.381897372232e-14       1.059181949858e-13       9.190207942153e-17       5.665172987123e-11       6.485929273088e-12      -6.540801792200e-15 
   49       1.850672829289e-10       1.476954829524e-14       8.431579673579e-14       9.578717898229e-17       5.419240614545e-11       6.232959791601e-12      -6.995790629169e-15 
   50       1.877589391288e-10       1.575891134964e-14       6.111314820937e-14       9.975385053718e-17       5.187593742206e-11       5.993128803503e-12      -7.495042251577e-15 
   51       1.904766927143e-10       1.678717496922e-14       3.624381206447e-14       1.038020295930e-16       4.969441349305e-11       5.765877942823e-12      -7.976446044019e-15 
   52       1.932246622005e-10       1.785437506067e-14       9.634804691439e-15       1.079316361087e-16       4.763364355251e-11       5.550051643358e-12      -8.367742365946e-15 
   53       1.960057165471e-10       1.896050183265e-14      -1.878048033496e-14       1.121425789646e-16       4.567761881858e-11       5.344318418819e-12      -8.606531684253e-15 
   54       1.988211658056e-10       2.010560701185e-14      -4.901865030490e-14       1.164347718488e-16       4.382419688041e-11       5.148654186700e-12      -8.707478030699e-15 
   55       2.016707948972e-10       2.128971921634e-14      -8.107943766946e-14       1.208081206004e-16       4.207273173246e-11       4.963170482823e-12      -8.711526647252e-15 
   56       2.045528038898e-10       2.251281160525e-14      -1.149579113339e-13       1.252625183310e-16       4.041934848129e-11       4.787666181082e-12      -8.667272227947e-15 
   57       2.074636930233e-10       2.377480041886e-14      -1.506443302676e-13       1.297978451419e-16       3.885673535877e-11       4.621606738984e-12      -8.631325240510e-15 
   58       2.103981477354e-10       2.507554351881e-14      -1.881239971136e-13       1.344139678412e-16       3.737393573531e-11       4.464103443197e-12      -8.668678247970e-15 
   59       2.133510171566e-10       2.641484044718e-14      -2.273815219747e-13       1.391107551326e-16       3.595936636835e-11       4.314166110087e-12      -8.834870035854e-15 
   60       2.163240472670e-10       2.779243593542e-14      -2.684151025302e-13       1.438881279433e-16       3.461116303287e-11       4.171576853523e-12      -9.116809162226e-15 
   61       2.193205109568e-10       2.920801463169e-14      -3.112253073572e-13       1.487460203046e-16       3.332887413703e-11       4.036182912042e-12      -9.478830872415e-15 
   62       2.223432089292e-10       3.066119827393e-14      -3.558109603820e-13       1.536843651449e-16       3.211034912371e-11       3.907629784910e-12      -9.879445395618e-15 
   63       2.253944256907e-10       3.215154428145e-14      -4.021691439878e-13       1.587030945314e-16       3.095163984754e-11       3.785349747320e-12      -1.027108724298e-14 
   64       2.284758855419e-10       3.367854434664e-14      -4.502952021214e-13       1.638021399119e-16       2.984690195207e-11       3.668550365601e-12      -1.059986450565e-14 
   65       2.315888440479e-10       3.524157780457e-14      -5.001810592822e-13       1.689814475530e-16       2.879000877755e-11       3.556425867351e-12      -1.081797823542e-14 
   66       2.347344838170e-10       3.683976342710e-14      -5.518097567197e-13       1.742410281128e-16       2.778001187602e-11       3.448869078004e-12      -1.092460077982e-14 
   67       2.379135241180e-10       3.847207363103e-14      -6.051597612324e-13       1.795809180300e-16       2.681666405831e-11       3.345890175480e-12      -1.093323219798e-14 
   68       2.411260533283e-10       4.013737430712e-14      -6.602065040039e-13       1.850011659077e-16       2.589875913481e-11       3.247401986636e-12      -1.085989586102e-14 
   69       2.443714887141e-10       4.183442214680e-14      -7.169223366009e-13       1.905018331805e-16       2.502408119555e-11       3.153214736174e-12      -1.072324215809e-14 
   70       2.476485362107e-10       4.356186196879e-14      -7.752764869734e-13       1.960829947813e-16       2.418935389028e-11       3.063030795552e-12      -1.054465220231e-14 
   71       2.509551502027e-10       4.531822404586e-14      -8.352350154530e-13       2.017447398077e-16       2.339018970850e-11       2.976439431896e-12      -1.034834153675e-14 
   72       2.542893552197e-10       4.710205723685e-14      -8.967633913654e-13       2.074871712961e-16       2.262221939848e-11       2.893028170289e-12      -1.015650932197e-14 
   73       2.576519829991e-10       4.891236390836e-14      -9.598348932260e-13       2.133104040110e-16       2.188484391686e-11       2.812753296916e-12      -9.973477482486e-15 
   74       2.610443905653e-10       5.074824405388e-14      -1.024423748953e-12       2.192145674344e-16       2.117811435987e-11       2.735631315558e-12      -9.798680308341e-15 
   75       2.644676246727e-10       5.260876730537e-14      -1.090502673680e-12       2.251998072566e-16       2.050159226437e-11       2.661626090926e-12      -9.631339967564e-15 
   76       2.679224012651e-10       5.449297336053e-14      -1.158042885591e-12       2.312662860223e-16       1.985432583178e-11       2.590646259976e-12      -9.470457095271e-15 
